t,original_y,smoothed_y
4.06,30.029,24.8384
4.07,28.5669,24.9971
4.08,28.9305,25.1644
4.09,30.2144,25.3793
4.1,27.104,25.4526
4.11,28.2586,25.572
4.12,29.7223,25.7486
4.13,27.706,25.8319
4.14,30.0742,26.0123
4.15,29.659,26.1675
4.16,29.6447,26.3154
4.17,29.1554,26.4362
4.18,29.2853,26.5574
4.19,31.4485,26.7655
4.2,31.1119,26.9504
4.21,29.5,27.0589
4.22,29.3981,27.1584
4.23,29.9809,27.2785
4.24,31.1525,27.4433
4.25,30.1967,27.5605
4.26,30.4064,27.6815
4.27,31.795,27.8565
4.28,31.1893,27.9983
4.29,34.0293,28.2549
4.3,30.9956,28.3715
4.31,30.7536,28.4728
4.32,31.3182,28.5939
4.33,29.0102,28.6116
4.34,32.0253,28.7568
4.35,31.971,28.8936
4.36,31.7939,29.017
4.37,31.6544,29.1292
4.38,32.0594,29.2538
4.39,31.7691,29.3608
4.4,32.0399,29.4748
4.41,33.1548,29.6314
4.42,32.2949,29.7447
4.43,33.6445,29.9106
4.44,33.1796,30.0497
4.45,34.1564,30.2244
4.46,33.3098,30.3557
4.47,34.5574,30.5344
4.48,34.4844,30.7025
4.49,34.6949,30.8723
4.5,32.7876,30.9538
4.51,34.4072,31.1007
4.52,34.8705,31.2611
4.53,35.0627,31.4228
4.54,34.7937,31.5662
4.55,35.1742,31.7197
4.56,36.6458,31.9293
4.57,37.1071,32.1496
4.58,35.0957,32.2749
4.59,34.5831,32.3731
4.6,35.3556,32.5
4.61,35.6984,32.6361
4.62,36.7983,32.8131
4.63,36.4469,32.9677
4.64,35.6812,33.0832
4.65,36.7271,33.2382
4.66,35.9863,33.3551
4.67,37.4542,33.5295
4.68,37.6096,33.7031
4.69,39.0141,33.929
4.7,38.5653,34.1263
4.71,38.6571,34.319
4.72,36.7011,34.4204
4.73,37.6495,34.5578
4.74,36.4462,34.6381
4.75,35.3008,34.6663
4.76,39.7619,34.8831
4.77,37.5575,34.9969
4.78,38.9154,35.1636
4.79,40.2038,35.378
4.8,40.0111,35.5751
4.81,40.783,35.7967
4.82,40.1969,35.9839
4.83,39.7127,36.1425
4.84,40.4397,36.3253
4.85,39.7459,36.4708
4.86,39.9082,36.6171
4.87,39.5291,36.741
4.88,39.8828,36.8746
4.89,41.2123,37.0592
4.9,42.6977,37.299
4.91,40.4696,37.4339
4.92,40.2642,37.5543
4.93,42.6662,37.7718
4.94,42.8168,37.9864
4.95,41.0714,38.1177
4.96,43.1952,38.3337
4.97,44.5868,38.5997
4.98,40.4651,38.6791
4.99,41.3177,38.7913
